"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Cabela's: The Hunt Championship Edition","Saber Interactive","Planet Entertainment","October 23, 2018","[1][2][3]"
"Cadence of Hyrule","Brace Yourself Games","JP: Spike ChunsoftWW: Nintendo","June 13, 2019",""
"Café Enchanté","Otomate","JP: Idea FactoryWW: Aksys Games","October 10, 2019","[4][5][6]"
"Cafeteria Nipponica","Kairosoft","Kairosoft","April 18, 2019","[7][8]"
"Caged Garden Cock Robin","SEEC","SEEC","July 25, 2019","[9]"
"Cake Bash","High Tea Frog","Coatsink","November 19, 2020","[10][11]"
"Cake Laboratory","Square Heads Games","GrimTalin","December 20, 2018","[12][13]"
"Caladrius Blaze","Moss","H2 Interactive","July 18, 2019",""
"Calico","Peachy Keen Games","Whitethorn Digital","December 15, 2020","[14]"
"The Caligula Effect 2","Historia","JP: FuRyuWW: NIS America","June 24, 2021",""
"The Caligula Effect: Overdose","Historia","JP: FuRyuWW: NIS America","March 12, 2019",""
"Call of Cthulhu: The Official Video Game","Cyanide","JP: Oizumi AmuzioWW: Focus Home Interactive","October 8, 2019",""
"Call of Juarez: Gunslinger","Techland","Techland","December 10, 2019",""
"Candle: The Power of the Flame","Teku Studios","Merge Games","July 26, 2018","[15][16][17]"
"Candleman","Spotlighter Interactive","indienova","October 3, 2019",""
"Candy 2048 Challenge","Mindscape","Mindscape","December 25, 2020","[18]"
"Candy Raid: The Factory","KR Game Studios","KR Game Studios","October 1, 2020","[19][20]"
"Cannibal Cuisine","Rocket Vulture","Rocket Vulture","May 20, 2020","[21]"
"Can't Drive This","Pixel Maniacs","Pixel Maniacs","March 19, 2021","[22]"
"Capcom Arcade Stadium","Capcom","Capcom","February 17, 2021",""
"Capcom Arcade 2nd Stadium","Capcom","Capcom","July 22, 2022",""
"Capcom Beat 'Em Up Bundle","Capcom","Capcom","September 18, 2018",""
"Capcom Fighting Collection","Capcom","Capcom","June 24, 2022",""
"Capcom Fighting Collection 2","Capcom","Capcom","2025",""
"Cape's Escape Game","AlignmentSharp","AlignmentSharp","November 19, 2020","[23]"
"Cape's Escape Game: 2nd Room","AlignmentSharp","AlignmentSharp","February 18, 2021","[24]"
"Cape's Escape Game: 2.5th Room","AlignmentSharp","AlignmentSharp","May 27, 2021","[25]"
"Cape's Escape Game: 3rd Room","AlignmentSharp","AlignmentSharp","August 26, 2021","[26]"
"Captain Sabertooth and the Magic Diamond","Ravn Studio","Zordix","November 20, 2020",""
"Captain StarOne","Marumittu","Flyhigh Works","February 7, 2019","[27]"
"Captain Toad: Treasure Tracker","Nintendo EPD","Nintendo","July 13, 2018",""
"Captain Tsubasa: Rise of New Champions","Tamsoft","Bandai Namco Entertainment","August 27, 2020",""
"Car Mechanic Manager","Ultimate Games","Ultimate Games","May 7, 2019","[28][29]"
"Car Mechanic Simulator 2018","ECC Games","ECC Games","February 15, 2019",""
"Car Trader","Ultimate Games","Ultimate Games","May 12, 2019","[28][30][31]"
"Caravan Stories","Aiming","Aiming","March 18, 2021","[32]"
"Carcassonne","Asmodee","Asmodee","December 6, 2018",""
"Card Shark","Nerial","Devolver Digital","2022","[33][34]"
"Cardaclysm: Shards of the Four","Elder Games","Headup","August 13, 2021","[35]"
"Cardfight Vanguard EX","FuRyu","FuRyu","September 19, 2019",""
"Cardpocalypse","Gambrinous","Versus Evil","December 12, 2019","[36][37]"
"Carebotz","Glasscannon Studio","Takacs Peter","December 20, 2021","[38]"
"Caretaker","Baris Tarimcioglu","Playstige Interactive","July 16, 2020","[39][40][41]"
"Carnival Games","Mass Media Games","Take-Two Interactive","November 6, 2018",""
"Carrion","Phobia Game Studio","Devolver Digital","July 23, 2020",""
"Cars 3: Driven to Win","Avalanche Software","Warner Bros. Interactive Entertainment","June 13, 2017",""
"Carto","Sunhead Games","Humble Games","October 27, 2020","[42]"
"Cartoon Network: Battle Crashers","Magic Pockets, Torus Games","GameMill Entertainment","October 31, 2017",""
"Case: Animatronics","Walnut","OOO Valnat","October 3, 2019","[43][44]"
"Case Closed Skateboard Run: Phantom Thief Kid and the Mysterious Treasures","TMS Entertainment","TMS Entertainment","April 11, 2019","[45]"
"A Case of Distrust","Serenity Forge","Serenity Forge","September 20, 2018","[46]"
"The Case of the Golden Idol","Color Gray Games","Playstack","May 25, 2023",""
"The Casebook of Arkady Smith","Wobbly Tooth","Wobbly Tooth","April 16, 2020","[47]"
"The Casino: Roulette, Video Poker, Slot Machines, Craps, Baccarat","Break","D3 Publisher","November 19, 2020","[23]"
"Cassette Beasts","Bytten Studio","Raw Fury","May 25, 2023","[48]"
"Castaway Paradise","Rokaplay","Rokaplay","April 29, 2021",""
"Castle Crashers Remastered","The Behemoth","The Behemoth","September 17, 2019",""
"Castle Kong","Drowning Monkeys","Drowning Monkeys","July 4, 2020","[49]"
"Castle of Heart","7Levels","7Levels","March 23, 2018","[50][51][52][53]"
"Castle of Shikigami 2","Alfa System, Cosmo Machia","Degica Games","December 2021","[54]"
"CastleStorm","Zen Studios","Zen Studios","August 16, 2018",""
"CastleStorm II","Zen Studios","Zen Studios","September 23, 2020",""
"Castlevania Advance Collection","Konami","Konami","September 23, 2021","[55]"
"Castlevania Anniversary Collection","Konami","Konami","May 16, 2019",""
"Castlevania Dominus Collection","Konami","Konami","August 27, 2024",""
".Cat","Game Nacional","Game Nacional","April 10, 2021","[56]"
"Cat Girl Without Salad: Amuse-Bouche","WayForward","Humble Bundle","April 1, 2020","[57][58][59]"
".cat Milk","Bernardo Game Studio","Game Nacional","August 13, 2021","[60]"
"Cat Quest","The Gentlebros","PQube","November 9, 2017",""
"Cat Quest II: The Lupine Empire","The Gentlebros","PQube","October 24, 2019",""
"Catan","Magic Pockets, Torus Games","Asmodee","June 20, 2019",""
"Catch a Duck","All Those Moments","Ultimate Games","July 29, 2019","[61]"
