"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"A5: A-Ressha de Ikou 5","Artdink","Artdink","December 4, 1997","Unreleased","Unreleased",""
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","Artdink","Artdink","May 4, 1999","Unreleased","Unreleased",""
"A-Train•A.IV Evolution Global: A-Ressha de Ikou 4 GlobalJP•A-IV Evolution GlobalPAL","Artdink","MaxisNA, ArtdinkJP, SCEEPAL","November 22, 1995","November 1996","June 5, 1996",""
"AbalaBurn","Tamsoft","Takara","August 20, 1998","Unreleased","Unreleased",""
"Ace Combat 2","Namco","NamcoJP,NA, SCEEPAL","May 30, 1997","October 1997","August 15, 1997",""
"Ace Combat 3: Electrosphere","Namco","Namco, SCEEPAL","May 27, 1999","January 21, 2000","March 2, 2000","[6]"
"Aces of the Air•Simple 1500 Series Vol. 95: The HikoukiJP","Highwaystar","D3 PublisherJP, AgetecNA","May 23, 2002","Unreleased","September 26, 2002","[7]"
"Acid","ISCO","Taki","July 8, 1999","Unreleased","Unreleased","[8]"
"Aconcagua","SCEI","SCEI","June 1, 2000","Unreleased","Unreleased","[8]"
"Action Bass","Vingt-et-un Systems","Take 2 Interactive, SyscomJP","December 9, 1999","September 29, 2000","July 14, 2000","[9]"
"Action Man: Destruction X","Blitz Games[10]","The 3DO Company, Hasbro Interactive","Unreleased","November 2000","Unreleased","[11]"
"Action Man: Operation Extreme•Action Man: Mission XtremePAL","Blitz Games","Hasbro Interactive","Unreleased","June 25, 2000","November 30, 2000","[12]"
"Activision Classic Games for the Atari 2600","Gray Matter","Activision","Unreleased","Unreleased","September 30, 1998","[13]"
"Actua Golf•VR Golf '97NA","Gremlin Interactive","Gremlin InteractivePAL, VR SportsNA, Naxat SoftJP","April 11, 1997","October 1996","October 15, 1996","[14]"
"Actua Golf 2•Fox Sports Golf '99NA","Gremlin Interactive","Gremlin InteractivePAL, Fox InteractiveNA","Unreleased","September 1997","June 30, 1998","[15]"
"Actua Golf 3","Gremlin Interactive","Gremlin Interactive","Unreleased","1999","Unreleased","[16]"
"Actua Ice Hockey","Gremlin Interactive","Gremlin InteractivePAL, KonamiJP","December 17, 1998","February 1998","Unreleased","[17]"
"Actua Ice Hockey 2","Gremlin Interactive","Gremlin Interactive","Unreleased","April 1, 1999","Unreleased","[18]"
"Actua Soccer•Ran SoccerDE•VR Soccer '96NA","Gremlin Interactive","Gremlin InteractivePAL, Naxat SoftJP, InterplayNA","July 19, 1996","March 1996","October 31, 1996","[19]"
"Actua Soccer 2","Gremlin Interactive","Gremlin Interactive","Unreleased","November 1997","Unreleased","[20]"
"Actua Soccer 3","Gremlin Interactive","Gremlin Interactive","Unreleased","December 1998","Unreleased","[21]"
"Actua Soccer Club Edition","Gremlin Interactive","Gremlin Interactive","Unreleased","May 1997","Unreleased","[22]"
"Actua Tennis","Gremlin Interactive","Gremlin Interactive","Unreleased","1998","Unreleased","[23]"
"Ad Lib Ouji ...to Fuyukai na Nakama-tachi!?","Nippon Telenet","Nippon Telenet","December 19, 2002","Unreleased","Unreleased",""
"Addie no Okurimono","SCEI","SCEI","February 3, 2000","Unreleased","Unreleased",""
"Adiboo & Paziral's Secret","Coktel Vision","Vivendi Games","Unreleased","October 24, 2003","Unreleased",""
"Adibou Et L'Ombre Verte","Coktel Vision","SCEE","Unreleased","October 2, 2001","Unreleased",""
"Adidas Power Soccer","Psygnosis","Psygnosis","Unreleased","June 1996","August 31, 1996","[24]"
"Adidas Power Soccer 2","Shen","Psygnosis","Unreleased","1998","Unreleased",""
"Adidas Power Soccer International 97","Psygnosis","Psygnosis","Unreleased","April 1997","Unreleased","[25]"
"Adidas Power Soccer 98","Shen","Psygnosis","Unreleased","June 1998","June 24, 1998","[26]"
"Advan Racing","Atlus","Atlus","November 19, 1998","Unreleased","Unreleased","[27]"
"Advanced V.G.","TGL","TGL","April 19, 1996","Unreleased","Unreleased","[28]"
"Advanced V.G. 2","TGL","TGL","September 23, 1998","Unreleased","Unreleased","[29]"
"The Adventure of Little Ralph","New Corporation","Ertain Corporation, New Corporation","June 3, 1999","Unreleased","Unreleased",""
"The Adventures of Lomax•LomaxPAL,JP","Psygnosis","Psygnosis","December 18, 1997","November 1996","October 22, 1996","[30]"
"AFL 99","EA Sports","EA Sports","Unreleased","June 1999","Unreleased","[31]"
"Afraid Gear","Office Create","Asmik Ace Entertainment","October 29, 1998","Unreleased","Unreleased",""
"Afraid Gear Another","Office Create","Office Create","June 14, 2001","Unreleased","Unreleased",""
"Afro Inu: The Puzzle","Axes Art Amuse","Bandai","October 25, 2001","Unreleased","Unreleased",""
"Agent Armstrong•Agent Armstrong: Himitsu Shirei DaisakusenJP","King of the Jungle","Virgin InteractivePAL, W.I.ZJP","December 4, 1997","September 18, 1997","Unreleased","[32]"
"Agile Warrior F-111X•Agile WarriorJP","Black Ops Entertainment","Virgin Interactive","January 13, 1996","March 1996","November 21, 1995","[33]"
"AI Mahjong 2000","i4","i4","November 25, 1999","Unreleased","Unreleased",""
"AI Mahjong Selection","i4","i4","July 25, 2002","Unreleased","Unreleased",""
"AI Shogi","Soft Bank","Soft Bank","November 22, 1995","Unreleased","Unreleased",""
"AI Shogi 2","GameBank","GameBank","December 25, 1997","Unreleased","Unreleased",""
"AI Shogi 2 Deluxe","i4","i4","September 22, 1999","Unreleased","Unreleased",""
"AI Shogi Selection","Hamster","Hamster","May 23, 2002","Unreleased","Unreleased",""
"Air Combat•Ace CombatJP","Namco, Arsys Software","Namco, SCEEPAL","June 30, 1995","September 29, 1995","September 9, 1995","[34]"
"Air Hockey•Hooockey!!JP","Mud Duck Productions","SuccessJP, Midas Interactive EntertainmentPAL, Mud Duck ProductionsNA","May 25, 2000","April 5, 2002","September 10, 2003","[35]"
"Air Management '96","Koei","Koei","March 22, 1996","Unreleased","Unreleased",""
"Air Race Championship","Metro","Xing Entertainment","March 4, 1999","Unreleased","Unreleased",""
"AirGrave","Santos","Santos","November 29, 1996","Unreleased","Unreleased",""
"Aironauts","Red Lemon Studios","Red Storm Entertainment","Unreleased","August 1999","Unreleased",""
"The Airs","Victor Interactive Software","Victor Interactive Software","March 25, 1999","Unreleased","Unreleased",""
"Aishiau Kotoshika Dekinai","Coconuts Japan","Coconuts Japan","February 11, 1998","Unreleased","Unreleased",""
"Aitakute... Your Smiles in My Heart","KCET","Konami","March 16, 2000","Unreleased","Unreleased",""
"Akagawa Jirou: Majotachi no Nemuri: Fukkatsusai","Open Sesame","Victor Interactive Software","April 15, 1999","Unreleased","Unreleased",""
"Akagawa Jirou: Yasoukyoku","Open Sesame","Victor Interactive Software","July 16, 1998","Unreleased","Unreleased",""
"Akagawa Jirou: Yasoukyoku 2","Office Create","Victor Interactive Software","June 14, 2001","Unreleased","Unreleased",""
"Akagi: Touhaiden","Micronet co., Ltd.","Micronet co., Ltd.","January 13, 1996","Unreleased","Unreleased",""
"Akazu no Ma","Visit","Visit","May 9, 1997","Unreleased","Unreleased",""
"Akuji the Heartless","Crystal Dynamics","Eidos Interactive","Unreleased","February 1999","June 24, 1998","[36][37]"
"Alex Ferguson's Player Manager 2001PAL•Guy Roux Manager 2001FR•DSF Fussball Manager 2001DE","Anco Software","The 3DO CompanyNA, UbisoftDE,FR","Unreleased","November 24, 2000PAL December 2000FR June 21, 2001DE","Unreleased","[38]"
"Alex Ferguson's Player Manager 2002PAL•DSS Fussball Manager 2002DE•Guy Roux Manager 2002FR","Anco Software","Ubisoft","Unreleased","May 14, 2002DE May 17, 2002PAL","Unreleased",""
"Alexi Lalas International Soccer•Bomba:98PAL•Golden Goal 98PAL•Mundial:98PAL•Three LionsPAL•Pro : Foot Contest '98FR","Z-Axis","BMG InteractivePAL, Take-Two InteractivePAL,NA (Alexei Lalas, Golden Goal 98)","Unreleased","April 17, 1998","April 28, 1999","[39]"
"Alfred Chicken","Möbius Entertainment","SCEE","Unreleased","2002AUS April 12, 2002PAL","Unreleased","[40]"
"Alice in Cyberland","Glams","Glams","December 20, 1996","Unreleased","Unreleased",""
"Alien: Resurrection","Argonaut Games","Fox Interactive","Unreleased","December 1, 2000","October 10, 2000",""
"Alien Trilogy","Probe Entertainment","Acclaim","May 31, 1996","March 1996","February 29, 1996","[41]"
"ALIVE","General Entertainment Co. Ltd.","General Entertainment Co. Ltd.","August 6, 1998","Unreleased","Unreleased",""
"All Japan Woman Pro Wrestling","TEN","GW","July 23, 1998","Unreleased","Unreleased","[42]"
"All-Star 1997 featuring Frank Thomas","Acclaim","Acclaim","Unreleased","June 30, 1997","July 10, 1997","[43][44]"
"All-Star Action","Mere Mortals","Phoenix Games","Unreleased","2003","Unreleased",""
"All-Star Mahjong: Kareinaru Shoubushi Kara no Chousen","Pony Canyon","Pony Canyon","September 18, 1997","Unreleased","Unreleased",""
"All-Star Racing","Mud Duck Productions","Mud Duck Productions","Unreleased","October 6, 2002","October 6, 2002","[45][46]"
"All-Star Racing 2","Mud Duck Productions","Mud Duck Productions","Unreleased","July 2, 2003","April 24, 2003",""
"All-Star Slammin' D-ballNA•Simple 1500 Series Vol. 76: The Dodge BallJP•Super Slammin' DodgeballEU","Access","D3JP, AgetecNA, Midas Interactive EntertainmentPAL","October 25, 2001","May 2, 2003","February 12, 2002",""
"All Star Soccer","Eidos Interactive","Eidos Interactive","Unreleased","August 1, 1997","Unreleased",""
"All Star Tennis '99•Yannick Noah All Star Tennis '99FR","Smart Dog","Ubisoft","February 12, 1999","November 20, 1998","Unreleased","[47]"
"All Star Tennis 2000","Aqua Pacific Ltd.","Ubisoft","Unreleased","August 18, 2000","Unreleased",""
"All Star Watersports","Phoenix Games","Phoenix Games","Unreleased","March 14, 2003","Unreleased",""
"Allied General","SSI","SSI","Unreleased","June 1, 1997","October 10, 1996","[48]"
"Alnam no Kiba: Juuzoku Juuni Shinto Densetsu","Right Stuff","Right Stuff","February 2, 1996","Unreleased","Unreleased",""
"Alnam no Tsubasa: Shoujin no Sora no Kanata e","Right Stuff","Right Stuff","December 25, 1997","Unreleased","Unreleased",""
"Alone in the Dark: One-Eyed Jack's RevengeNA•Alone in the Dark: Jack is BackPAL","Infogrames","Infogrames (Europe)  I*Motion (North America)","November 8, 1996","May 3, 1996","August 22, 1996",""
"Alone in the Dark: The New Nightmare","Darkworks SA","Infogrames","Unreleased","May 18, 2001","June 18, 2001","[49]"
"Alundra•The Adventures of AlundraPAL","Matrix Software","SCEIJP, Working DesignsNA, PsygnosisPAL","April 11, 1997","June 5, 1998","January 8, 1998","[50]"
"Alundra 2: A New Legend Begins","Matrix Software","SCEIJP, Activision","November 18, 1999","June 2000","February 29, 2000","[51]"
"The Amazing Virtual Sea-Monkeys","Creature Labs","Kemco","Unreleased","June 19, 2002","December 20, 2002",""
"America Oudan Ultra-Quiz","Pegasus Japan","Victor Interactive Software","February 23, 1996","Unreleased","Unreleased",""
"American Pool","DigiCube","DigicubeJP, Mud Duck ProductionsNA, Midas InteractivePAL","January 31, 2002","June 13, 2003","June 5, 2003",""
"Amerzone","Microids","Casterman","Unreleased","December 13, 1999","Unreleased",""
"Anastasia","Midas Interactive","Midas Interactive","Unreleased","April 12, 2001","Unreleased",""
"Ancient Roman: Power of Dark Side","Nihon Bussan","Nihon Bussan","April 23, 1998","Unreleased","Unreleased",""
"Andretti Racing","Electronic Arts","Electronic Arts","Unreleased","October 1996","November 30, 1996","[52]"
"Angel Blade: Neo Tokyo Guardians","Nippon","Ichi Soft","July 3, 1997","Unreleased","Unreleased",""
"Angel Graffiti: Anathe no Profile","Coconuts Japan","Coconuts Japan","July 26, 1996","Unreleased","Unreleased",""
"Angelique Duet","Koei","Koei","July 30, 1998","Unreleased","Unreleased",""
"Angelique History","Koei","Koei","March 30, 2000","Unreleased","Unreleased",""
"Angelique Special","Koei","Koei","March 29, 1996","Unreleased","Unreleased",""
"Angelique Special 2","Koei","Koei","April 11, 1997","Unreleased","Unreleased",""
"Angelique: Tenkū no Requiem","Koei","Koei","February 4, 1999","Unreleased","Unreleased",""
"Angolmois 99","Success","Success","August 26, 1999","Unreleased","Unreleased",""
"Animal Football","The Code Monkeys","Phoenix Games","Unreleased","July 26, 2003","Unreleased",""
"Animal Snap","Ignition","Ignition","Unreleased","September 19, 2003","Unreleased",""
"Animaniacs: Ten Pin Alley","Saffire","ASC Games","Unreleased","Unreleased","January 10, 1998",""
"Animetic Story Game 1: Cardcaptor Sakura","Arika","Arika","August 5, 1999","Unreleased","Unreleased",""
"Animorphs: Shattered Reality","SingleTrac","Infogrames","Unreleased","Unreleased","August 30, 2000",""
"Ankh: Tutankhamen no Nazo","Ray Corporation","Ray Corporation","November 27, 1997","Unreleased","Unreleased",""
"Anoko Doko Noko","Success","Success","August 6, 1998","Unreleased","Unreleased",""
"Another Memories","Starlight Marry","Hearty Robin","June 18, 1998","Unreleased","Unreleased",""
"Another Mind","Squaresoft","Squaresoft","November 12, 1998","Unreleased","Unreleased",""
"Ao no Roku-gō","Bandai","Bandai","September 28, 2000","Unreleased","Unreleased",""
"Ao Zora to Nakama Tachi: Yume no Bouken Plus","MTO","MTO","November 13, 2003","Unreleased","Unreleased",""
"Aoki Ookami to Shiroki Mejika: Genchou Hishi","Koei","Koei","September 17, 1998","Unreleased","Unreleased",""
"Ape Escape•Saru! Get You!JP","Sony Computer Entertainment Inc.","Sony Computer Entertainment Inc.","June 25, 1999","July 2, 1999","May 31, 1999",""
"Apocalypse","Neversoft","ActivisionPAL,NA, SuccessJP","September 22, 1999","November 1998","November 18, 1998",""
"Aqua GT","East Point Software","Take 2 Interactive","Unreleased","January 26, 2001","Unreleased",""
"Aqua Paradise: Boku no Suizokukan","Open Sesame","Victor Interactive Software","December 28, 2000","Unreleased","Unreleased",""
"Aquanaut's Holiday","Artdink","ArtdinkJP, SCEANA, SCEEPAL","June 30, 1995","October 1996","November 21, 1996",""
"Aquanaut no Kyuujitsu: Memories of Summer 1996","Artdink","Artdink","July 19, 1996","Unreleased","Unreleased",""
"Aquanaut no Kyuujitsu 2","Artdink","Artdink","July 1, 1999","Unreleased","Unreleased",""
"Aquarian Age: Tokyo Wars","Broccoli","ESP Software","May 25, 2000","Unreleased","Unreleased",""
"Arc the Lad","SCEI","SCEI/Working Designs","June 30, 1995","Unreleased","Unreleased",""
"Arc the Lad II","ARC Entertainment","SCEI","November 1, 1996","Unreleased","Unreleased",""
"Arc the Lad III","ARC Entertainment","SCEI","October 28, 1999","Unreleased","Unreleased",""
"Arc the Lad: Monster Game with Casino Game","ARC Entertainment","SCEI","July 31, 1997","Unreleased","Unreleased",""
"Arcade Hits: Crazy Climber","Nichibutsu","Hamster","May 23, 2002","Unreleased","Unreleased",""
"Arcade Hits: Moon Cresta","Nihon Bussan","Nihon Bussan","June 20, 2002","Unreleased","Unreleased",""
"Arcade Hits: Raiden","Hamster","Hamster","November 28, 2002","Unreleased","Unreleased",""
"Arcade Party Pak","Digital Eclipse Software","Midway Games","Unreleased","February 23, 2001","November 8, 1999",""
"Arcade's Greatest Hits: The Atari Collection 1","Digital Eclipse Software","Midway Games","Unreleased","December 1997","December 10, 1996",""
"Arcade's Greatest Hits: The Atari Collection 2","Digital Eclipse Software","Midway Games","Unreleased","April 17, 1998","February 1, 1998",""
"Arcade's Greatest Hits: The Midway Collection 2","Digital Eclipse Software","GT Interactive","Unreleased","March 1998","November 30, 1997",""
"Archer Maclean's 3D Pool","Awesome Studios","Ignition","Unreleased","October 17, 2003","Unreleased",""
"Are! Mo Kore? Mo Momotarou","System Sacom","System Sacom","October 4, 1996","Unreleased","Unreleased",""
"Area 51","Mesa Logic","Time Warner Interactive, Soft BankJP","March 20, 1997","May 1997","November 26, 1996",""
"Ark of Time","Trecision S.p.A.","Project Two Interactive BV","Unreleased","July 1998","Unreleased",""
"Arkana Senki Ludo","Falcon","Pai","July 9, 1998","Unreleased","Unreleased",""
"Arkanoid Returns","Taito","Taito","August 7, 1997","Unreleased","Unreleased",""
"Armed Fighter","Banpresto","Banpresto","March 4, 1999","Unreleased","Unreleased",""
"Armored Core","FromSoftware","FromSoftwareJP, AgetecNA, Sony Computer EntertainmentPAL","July 10, 1997","June 1, 1998","October 31, 1997","[53]"
"Armored Core: Master of Arena","FromSoftware","FromSoftwareJP, AgetecNA","February 4, 1999","Unreleased","March 15, 2000",""
"Armored Core: Project Phantasma","FromSoftware","FromSoftwareJP, ASCII EntertainmentNA","December 4, 1997","Unreleased","September 30, 1998",""
"Armorines: Project S.W.A.R.M.","Acclaim Studios London","Acclaim","July 13, 2000","November 23, 2001","May 4, 2000",""
"Army Men 3D","The 3DO Company","The 3DO Company","Unreleased","January 28, 2000","February 28, 1999",""
"Army Men: Air Attack","The 3DO Company","The 3DO Company","Unreleased","July 28, 2000","February 11, 1999",""
"Army Men: Air Attack 2","The 3DO Company","The 3DO Company","Unreleased","November 24, 2000","September 26, 2000",""
"Army Men: Green Rogue•Army Men : Omega SoldierPAL","The 3DO Company","The 3DO Company","Unreleased","April 27, 2001","April 13, 2001",""
"Army Men: Sarge's Heroes","The 3DO Company","The 3DO Company","Unreleased","August 17, 2000","February 23, 2000",""
"Army Men: Sarge's Heroes 2","The 3DO Company","The 3DO Company","Unreleased","November 24, 2000","November 21, 2000",""
"Army Men: World War•Army Men: Operation MeltdownPAL","The 3DO Company","The 3DO Company","Unreleased","June 10, 2000","April 4, 2000",""
"Army Men: World War - Final Front•Army Men: Lock N' LoadPAL","The 3DO Company","The 3DO Company","Unreleased","March 30, 2001","March 30, 2001",""
"Army Men: World War - Land, Sea, Air","The 3DO Company","The 3DO Company","Unreleased","November 3, 2000","September 15, 2000",""
"Army Men: World War - Team Assault•Army Men: Team AssaultPAL","The 3DO Company","The 3DO Company","Unreleased","January 1, 2002","November 28, 2001",""
"Art Camion Geijutsuden","TYO","TYO","December 16, 1999","Unreleased","Unreleased",""
"Art Camion Sugorokuden","Affect","Affect","April 27, 2000","Unreleased","Unreleased",""
"Arthur! Ready to Race","Mattel","The Learning Company","Unreleased","Unreleased","December 6, 2000",""
"Arthur to Astaroth no Nazomakaimura: Incredible Toons","Magical Formation","Capcom","August 30, 1996","Unreleased","Unreleased",""
"Arubarea no Otome ~Uruwashi no Seishikitachi~","NCS","NCS","October 8, 1998","Unreleased","Unreleased",""
"Ason de Chinou Up","Gakken","Gakken","December 11, 2003","Unreleased","Unreleased",""
"Asonde Aiueo","Gakken","Gakken","May 29, 2003","Unreleased","Unreleased",""
"Asonde Kazu Suuji","Gakken","Gakken","May 29, 2003","Unreleased","Unreleased",""
"Assault: Retribution","Candle Light Studios","TelstarPAL, MidwayNA","Unreleased","September 1998","November 19, 1998",""
"Assault Rigs","Psygnosis","Psygnosis","October 4, 1996","February 1996","February 1, 1996",""
"Assault Suits Valken 2","TamTam","NCS","July 29, 1999","Unreleased","Unreleased",""
"Asterix","Sourcery","Infogrames","Unreleased","March 1999","Unreleased",""
"Asterix & Obelix Take On Caesar","Tek 5","Cryo Interactive","Unreleased","June 1, 2000","Unreleased",""
"Asterix: Mega Madness","Unique Development Studios","Infogrames","Unreleased","June 29, 2001","Unreleased",""
"Asteroids","Activision","Syrox Developments","Unreleased","December 1998","November 23, 1998",""
"Astronōka","System Sacom","Enix","August 27, 1998","Unreleased","Unreleased",""
"Asuka 120% Final: Burning Fest. Final","Family Soft","Family Soft","May 27, 1999","Unreleased","Unreleased",""
"Asuka 120% Excellent: Burning Festival","Fill-in-Cafe","SCEI","May 9, 1999","Unreleased","Unreleased",""
"Asuka 120% Special Burning Fest","Fill-in-Cafe","Family Soft","March 29, 1996","Unreleased","Unreleased",""
"Asuncia - Majou no Jubaku","E.O. Imagination","Xing Entertainment","November 27, 1997","Unreleased","Unreleased",""
"Atari Anniversary Edition Redux","Digital Eclipse Software","Infogrames","Unreleased","March 1, 2002","November 26, 2001",""
"Atelier Elie: The Alchemist of Salburg 2","Gust","Gust","December 17, 1998","Unreleased","Unreleased",""
"Athena: Awakening from the Ordinary Life","Vistec","SNK","March 11, 1999","Unreleased","Unreleased",""
"Athena no Kateiban: Family Game","Athena","Athena","March 22, 1996","Unreleased","Unreleased",""
"Atlantis: The Lost Empire","Eurocom Entertainment Software","SCEA","Unreleased","October 19, 2001","June 14, 2001",""
"Atlantis, the Lost Continent","The Code Monkeys","Phoenix Games","Unreleased","2003","Unreleased",""
"Atlantis: The Lost Tales","Cryo Interactive","Cryo Interactive","Unreleased","October 1998","Unreleased",""
"Attack of the Saucerman","Psygnosis","SCEE","Unreleased","June 1, 1999","Unreleased",""
"ATV Mania","Gotham Games","Take 2 Interactive","Unreleased","August 8, 2003","July 23, 2003",""
"ATV Racers","Midas Interactive","Bethesda Software","Unreleased","June 13, 2003","June 20, 2003",""
"ATV: Quad Power Racing","Climax Studios","Acclaim, Acclaim JapanJP","December 21, 2000","October 13, 2000","August 24, 2000",""
"AubirdForce","Bandai","Bandai","October 25, 1996","Unreleased","Unreleased",""
"AubirdForce After","Bandai","Bandai","October 22, 1998","Unreleased","Unreleased",""
"Aura Battler Dunbine","Bandai","Bandai","March 4, 2000","Unreleased","Unreleased",""
"Austin Powers Pinball","Gotham Games","Take 2 Interactive","Unreleased","October 25, 2002","October 10, 2002",""
"Autobahn Raser II•Paris-Marseille Racing 2FR","Davilex","Davilex","Unreleased","1998","Unreleased",""
"Auto Destruct","Neurostone","Electronic Arts","Unreleased","December 1997","December 26, 1997","[54]"
"Ayakashi Ninden Kunoichiban","Zero System","Shoeisha","September 25, 1997","Unreleased","Unreleased",""
"Ayrton Senna Kart Duel","Gaps","GapsJP, SunsoftPAL","September 16, 1996","December 1996","Unreleased",""
"Ayrton Senna Kart Duel 2","Gaps","GapsJP, SunsoftPAL","November 20, 1997","January 15, 1997","Unreleased",""
"Ayrton Senna Kart Duel Special","Gaps","Gaps","April 28, 1999","Unreleased","Unreleased",""
"Azito","Astec 21","Banpresto","February 28, 1997","Unreleased","Unreleased",""
"Azito 2","Astec 21","Banpresto","October 15, 1998","Unreleased","Unreleased",""
"Azito 3","Astec 21","Banpresto","February 17, 2000","Unreleased","Unreleased",""
"Aztec: The Curse in the Heart of the City of Gold","Cryo Interactive","France Telecom Multimedia","Unreleased","June 1, 2000","Unreleased",""
"Azumanga Donjyara Daioh","Ganbarion","Bandai","April 18, 2002","Unreleased","Unreleased",""
"Azure Dreams","Konami","KCE Tokyo","November 13, 1997","December 1998","June 30, 1998",""
"B Senjou no Alice: Alice on Borderlines","Kodansha","Kodansha","September 18, 1997","Unreleased","Unreleased",""
"B.L.U.E. Legend of Water","CAProduction","Hudson Soft","July 9, 1998","Unreleased","Unreleased",""
"Baby Felix Tennis","LSP","LSP","Unreleased","December 7, 2002","Unreleased",""
"Backgammon 2000","Oxford Softworks","Unbalance","May 18, 2000","Unreleased","Unreleased",""
"Backguiner ~Yomigaeru Yuushatachi~ ""Guiner Tenshou""","","","July 30, 1998","Unreleased","Unreleased",""
"Backguiner ACT-2 ~Yomigaeru Yuushatachi~ Hishou Hen ""Uragiri no Senjou""","","","October 1, 1998","Unreleased","Unreleased",""
"Backstreet Billiards","Agenda","ArgentJP, ASCII EntertainmentNA","July 30, 1998","Unreleased","October 1, 1998",""
"Backyard Soccer•Junior Sports FootballPAL","Humongous Entertainment","Infogrames","Unreleased","November 13, 2001","September 28, 2001",""
"Bakuretsu Hunter: Mahjong Special","Banpresto","Banpresto","October 25, 1996","Unreleased","Unreleased",""
"Bakuretsu Hunter: Sorezore no Omoi...Nowaan Chatte","Banpresto","Banpresto","April 11, 1997","Unreleased","Unreleased",""
"Bakushou!! All Yoshimoto Quiz Ou Ketteisen DX","TOSE","TOSE","December 15, 1995","Unreleased","Unreleased",""
"Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi","Human Entertainment","Human Entertainment","June 25, 1998","Unreleased","Unreleased",""
"Bakusou Dekotora Densetsu 2: Otoko Jinsei Yume Ichiro","Spike","Spike","December 16, 1999","Unreleased","Unreleased",""
"(Mini Yonku)/Mini 4WD) Bakusou Kyoudai: Let's & Go!! WGP Hyper Heat","C-Lab","Jaleco Entertainment","November 20, 1997","Unreleased","Unreleased",""
"Bakusou Kyoudai: Let's & Go!! Eternal Wings","Jaleco Entertainment","Jaleco Entertainment","July 30, 1998","Unreleased","Unreleased",""
"Bakuten Shoot Beyblade 2002: Beybattle Tournament 2","Takara","Takara","August 1, 2002","Unreleased","Unreleased",""
"Baldies•Baldy LandJP","Creative Edge Software","BanprestoJP, Phoenix GamesPAL, Bethesda SoftworksNA","November 19, 1998","August 8, 2003","October 3, 2003",""
