"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"","","","Japan","","Europe/PAL","North America"
"007 Racing","Eutechnyx","EA Games and MGM Interactive","Unreleased","December 15, 2000","November 20, 2000",""
"007: The World Is Not Enough","Black Ops Entertainment","EA Games and MGM Interactive","Unreleased","November 17, 2000","November 8, 2000","[2]"
"007: Tomorrow Never Dies","Black Ops Entertainment","Electronic Arts and MGM Interactive","February 10, 2000","November 25, 1999","November 16, 1999",""
"1-Jikan de Wakaru Kabushiki Toushi","Game Stage","D3Publisher","July 26, 2001","Unreleased","Unreleased",""
"100 Manyen Quiz Hunter","FPS","FPS","December 23, 1998","Unreleased","Unreleased","[3]"
"101 Dalmatians II: Patch's London Adventure","Backbone Entertainment","Eidos Interactive","Unreleased","Unreleased","October 14, 2003",""
"10101: Will the Starship","Sound Technology","Sound Technology","November 6, 1997","Unreleased","Unreleased",""
"102 Dalmatians: Puppies to the Rescue","Crystal Dynamics","Eidos Interactive","Unreleased","December 20, 2000","November 15, 2000",""
"19:03 Ueno-hatsu Yakou Ressha","Visit","Visit","March 4, 1999","Unreleased","Unreleased",""
"1Xtreme•ESPN Extreme Games","Sony Interactive Studios America","SCEANA, SCEEPAL, SCEIJP","May 24, 1996","December 1995","September 9, 1995",""
"2002 FIFA World Cup","EA Canada","EA Sports","Unreleased","April 26, 2002","April 23, 2002","[4]"
"2999-Nen no Game Kids","SCEI","SCEI","December 23, 1998","Unreleased","Unreleased",""
"2Xtreme","Sony Interactive Studios America","SCEANA, SCEEPAL","Unreleased","March 6, 1997","October 31, 1996",""
"360: Three Sixty","Smart Dog","Cryo Interactive","Unreleased","July 1999","Unreleased",""
"3D Baseball•3D Baseball: The MajorsJP","Crystal Dynamics","Crystal DynamicsNA, BMG InteractiveJP","February 28, 1997","Unreleased","October 31, 1996",""
"3D Shooting Tsukuru","Success","ASCII Entertainment","December 20, 1996","Unreleased","Unreleased",""
"3x3 Eyes: Kyuusei Koushu","Nihon Create","Xing Entertainment","August 11, 1995","Unreleased","Unreleased",""
"3x3 Eyes: Tenrinou Genmu","Nihon Create","King Records","August 6, 1998","Unreleased","Unreleased",""
"3Xtreme","989 Studios","989 Studios","Unreleased","Unreleased","March 31, 1999",""
"40 Winks•Dream Story : Les Aventures de Tim et LolaFR","Eurocom","GT Interactive","Unreleased","November 1999","November 14, 1999",""
"4-4-2 Soccer","Arc Developments","Virgin Interactive","Unreleased","August 1997","Unreleased",""
"5 Star Racing","Kung Fu Games","Phoenix Games","Unreleased","November 15, 2003","Unreleased",""
"70's Robot Anime Geppy-X","Aroma","Aroma","May 27, 1999","Unreleased","Unreleased",""
"98 Kōshien","Magical Company","Magical Company","June 18, 1998","Unreleased","Unreleased",""
"99 Kōshien","Magical Company","Magical Company","June 17, 1999","Unreleased","Unreleased",""
"A Nanjarin","To One","To One","June 11, 1998","Unreleased","Unreleased","[5]"
"A2 Racer III: Europa Tour•Autobahn RaserDE•Paris-Marseille RacingFR•London RacerUK","Davilex","Davilex","Unreleased","2002","Unreleased",""
"A.IV Evolution: A-Ressha de Ikou 4","Artdink","Artdink","December 3, 1994","Unreleased","Unreleased",""
